date,ticker,open,high,close,volume,avg_vol,rvol,gap_pct,gain_pct,close_pct,dumped,rank
2025-10-20,ILUS,0.0,0.0,0.0,287194,1773035,0.2,-83.3,400.0,400.0,False,avoid
2025-10-20,BYND,1.02,1.53,1.47,1202828700,57430775,20.9,57.9,50.0,44.1,False,hot
2025-10-20,MITI,0.22,0.29,0.25,163100,79680,2.0,-24.1,31.8,13.6,True,avoid
2025-10-20,WHWK,2.21,2.81,2.66,1642400,4954905,0.3,0.0,26.9,20.4,False,avoid
2025-10-20,GREE,1.83,2.2,2.18,601100,402600,1.5,5.8,20.2,19.1,False,avoid
2025-10-21,BYND,2.31,3.86,3.62,2071569300,117486770,17.6,57.1,67.1,56.7,False,warm
2025-10-21,AHMA,4.0,5.4,4.65,2931800,0,0,0,35.0,16.3,True,avoid
2025-10-22,NVOS,0.0,0.01,0.01,16112,3487,4.6,-94.0,1900.0,1900.0,False,avoid
2025-10-22,SBEV,2.42,3.35,2.45,38765600,658085,58.9,28.0,38.4,1.2,True,hot
2025-10-22,BACK,0.06,0.08,0.07,10500,10485,1.0,0.0,31.1,8.2,True,avoid
2025-10-22,ASBP,12.52,16.32,14.16,115875,1024843,0.1,-1.3,30.4,13.1,True,avoid
2025-10-22,GTIM,1.55,1.98,1.73,1613900,19385,83.3,2.0,27.7,11.6,True,hot
2025-10-22,ILUS,0.0,0.0,0.0,607898,1235451,0.5,-20.0,25.0,25.0,False,avoid
2025-10-22,BYND,6.17,7.69,3.58,2227938200,220950625,10.1,70.4,24.6,-42.0,True,warm
2025-10-23,ILUS,0.0,0.0,0.0,591255,1238223,0.5,0.0,80.0,0.0,True,avoid
2025-10-23,FUSE,2.9,4.25,4.0,1081000,16810,64.3,-14.7,46.6,37.9,False,hot
2025-10-23,BBIG,0.0,0.0,0.0,13118,4367,3.0,0.0,33.3,33.3,False,watch
2025-10-23,BYND,2.95,3.73,2.84,802209200,332238470,2.4,-17.6,26.4,-3.7,True,avoid
2025-10-23,OPTX,2.48,3.13,2.86,278000,242510,1.1,-3.9,26.2,15.3,False,avoid
2025-10-23,WETH,1.89,2.36,2.27,516800,283230,1.8,-0.5,24.9,20.1,False,avoid
2025-10-23,TOVX,0.29,0.35,0.34,8048600,14065150,0.6,0.0,20.7,17.2,False,avoid
2025-10-24,TOVX,0.43,0.85,0.35,549590800,14454475,38.0,26.5,97.7,-18.6,True,hot
2025-10-24,WGRX,0.89,1.46,1.15,724659900,3497835,207.2,120.1,64.6,29.7,True,hot
2025-10-24,EGG,3.81,5.9,4.99,522200,78380,6.7,6.1,54.9,31.0,True,watch
2025-10-24,OWLS,10.3,13.6,12.6,943900,0,0,-3.6,32.0,22.3,False,avoid
